auth_false,net_traffic,net_traffic_auth,net_users,auth_store,train,route,routes_route,ip_count,auth_count,service_availability,vpn_ip,id,depart,arrive,train_name,p_count,count,real_route,route_arrival,station_of_departure,station_of_arrival,equipment,cron,availability,route_current,code,type,films_count,films_available,get_carriage,cont_users,actual_carriage,scan_carriage,rdl_api_version,comment_c,service_status_auth,service_status_nginx,service_status_dhcpd,service_status_ipcad,service_status_squid,source_car,auth_version,daemon_version,content_music,content_books,content_audio_book,content_films,content_press,http_codes_200,http_codes_404,http_codes_404_percent,core_version,docker_status,dockers_errors,dockers_errors_status,temp,temp_second
,,,,,092-16300,091И,091И,,,,,636298,2021-12-27T12:20:00,2021-12-31T05:52:00,,,1,,,СЕВЕРОБАЙКАЛ,МОСКВА-П-ЯР,,,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
,,,,,063-14306,392У,392У,,,,,636339,2021-12-27T12:25:00,2021-12-29T06:00:00,,,1,,,МОСКВА-П-КАЗ,ЧЕЛЯБИНСК-ГЛ,,,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
,232508,0,6,,080-19010,032Й,032Й,,,,,636490,2021-12-27T12:40:00,2021-12-27T19:50:00,,,1,,,САМАРА,ОРЕНБУРГ,"Incarnet 651",,,,,SPECIAL,,,,,,,,5,,,,,,vniias40,,,,,,,,,,,,,,,,
,24810357,20975505,30,13,es1-008/es1-016,804С,804С,,,,,636456,2021-12-27T12:40:00,2021-12-27T17:25:00,,,1,,,"ИМЕРЕТ КУРОРТ","КРАСНОДАР I",LASTA,,,,,LASTA,,,,,,,,2,,,,,,set,,,,,,,,,,,,,,,,
,,,,,063-16848,269Й,269Й,,,,,636725,2021-12-27T12:41:00,2021-12-28T16:00:00,,,1,,,УФА,МОСКВА-П-КАЗ,,,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
,1256352397,0,67,,es1p-002,814В,814В,63,7,0,,636649,2021-12-27T12:43:00,2021-12-27T16:13:00,es1p-002,0,202,,,ПСКОВ-ПАС,СПБ-БАЛТИЙСКИЙ,LASTA,1,2021-12-28T13:44:27,,,LASTA,40,,0,0,0,0,,3,,,,,,set,,,0,0,0,0,0,0,0,0,,1,,,,
,,,,,097-16184,325Ж,325Ж,,,,,636464,2021-12-27T12:45:00,2021-12-29T01:18:00,,,1,,,"ХАБАРОВСК I",НЕРЮНГРИ-ПАС,"Incarnet ",,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
,,,,,002-17299,371Я,371Я,,,,,636315,2021-12-27T12:45:00,2021-12-28T08:17:00,,,1,,,КОТЛАС-ЮЖ,АРХАНГ-ГОР,,,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
,,,,,028-16890,016М,016М,,,,,636215,2021-12-27T12:50:00,2021-12-28T09:02:00,,,1,,,МОСКВА-П-ЯР,АРХАНГ-ГОР,,,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
,,,,,000-00000,683Й,683Й,,,,,636468,2021-12-27T12:55:00,2021-12-27T14:38:00,,,1,,,ЧЕБОКСАРЫ,КАНАШ,,,,,,BRANDED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,024-16170,340С,340С,,,,,636354,2021-12-27T12:55:00,2021-12-29T15:05:00,,,1,,,НОВОРОССИЙСК,Н.НОВГОРОД-МОСК,,,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
,,,,,000-00000,767А,767А,,,,,636519,2021-12-27T13:00:00,2021-12-27T17:00:00,,,1,,,СПБ-ГЛАВНЫЙ,МОСКВА-П-ОКТ,,,,,,SAPSAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,028-13541,376Я,376Я,,,,,636319,2021-12-27T13:05:00,2021-12-29T12:39:00,,,1,,,МОСКВА-П-ЯР,ВОРКУТА,,,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
1,383326805,11094165,24,4,024-16360,133Г,133Г,9,4,0,192.168.216.172,636303,2021-12-27T13:10:00,2021-12-28T11:30:00,024-16360,244,578,133Г,"2021-12-28T11:30:00 244
",КАЗАНЬ,СПБ-ГЛАВНЫЙ,"Incarnet 688",1,2021-12-28T13:18:10,133Г,1,SPECIAL,0,,0,0,0,4,2.4.1,6,1,1,1,1,1,set,1.4.10,1.4.10,0,0,0,0,0,77,14,0,5.15.11-1.el7.elrepo.x86_64,1,,,,
,,,,,es1-004/es1-024,803С,803С,,,,,636455,2021-12-27T13:15:00,2021-12-27T18:12:00,,,1,,,"КРАСНОДАР I","ИМЕРЕТ КУРОРТ",LASTA,,,,,LASTA,,,,,,,,2,,,,,,set,,,,,,,,,,,,,,,,
,,,,,062-17392,047Ж,047Ж,,,,,636391,2021-12-27T13:16:00,2021-12-28T09:56:00,,,1,,,БАЛАКОВО,МОСКВА-П-ПАВ,"Incarnet 000",,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
,,,,,000-00000,119С,119С,,,,,636631,2021-12-27T13:18:00,2021-12-27T14:29:00,,,1,,,ТАГАНРОГ,РОСТОВ-ГЛ,,,,,,BRANDED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1030329133,34939489,38,11,017-16182,021Н,021Н,15,11,0,,636434,2021-12-27T13:21:00,2021-12-29T09:58:00,017-16182,301,542,021Н,"2021-12-29T09:58:00 301
",ЛАБЫТНАНГИ,МОСКВА-П-ЯР,"Incarnet 565",1,2021-12-28T13:22:23,021Н,1,SPECIAL,0,,0,4,8,0,2.4.1,2,1,1,1,1,1,vniias40,1.4.10,1.4.10,0,0,0,0,0,72,14,0,5.15.11-1.el7.elrepo.x86_64,,,,,
,3074110,0,36,,es1-047,830С,830С,38,5,0,,636671,2021-12-27T13:22:00,2021-12-27T21:23:00,es1-047,0,355,,,АДЛЕР,АНАПА,LASTA,1,2021-12-28T13:44:22,,,LASTA,40,,0,0,0,0,,2,,,,,,set,,,0,0,0,0,0,0,0,0,,1,,,,
10,4594413973,4581455788,118,80,020-36887,740А,740А,109,90,0,192.168.217.131,636532,2021-12-27T13:26:00,2021-12-27T17:31:00,020-36887,523,145,740А,"2021-12-27T17:31:00 523
",БРЯНСК-ОРЛОВ,МОСКВА-П-КИЕВ,"Incarnet 561",1,2021-12-28T13:37:10,740А,1,SPECIAL,0,,0,6,10,0,2.4.1,1,1,1,1,1,1,set,1.4.10,1.4.10,0,0,0,0,0,4132,14,0,5.15.11-1.el7.elrepo.x86_64,1,,,,
,,,,,080-17139,145А,145А,,,,,636429,2021-12-27T13:28:00,2021-12-29T06:43:00,,,1,,,"ДАЧА ДОЛГОР (ЛАДВОКЗАЛ)",ЧЕЛЯБИНСК-ГЛ,,,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
,,,,,001-16178,049А,049А,,,,,636259,2021-12-27T13:34:00,2021-12-29T09:46:00,,,1,,,СПБ-ГЛАВНЫЙ,КИСЛОВОДСК,,,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
,,,,,052-16031,677С,677С,,,,,636347,2021-12-27T13:34:00,2021-12-28T07:45:00,,,1,,,ВЛАДИКАВКАЗ,НОВОРОССИЙСК,,,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
,,,,,026-17314,012Я,012Я,1,0,0,192.168.219.204,636425,2021-12-27T13:35:00,2021-12-30T08:26:00,026-17314,1613,586,012Я,"2021-12-28T08:26:00 791
2021-12-30T08:26:00 822
",МОСКВА-П-ЯР,"НОВ УРЕНГОЙ","Incarnet 433",1,2021-12-28T13:43:37,012Я,1,SPECIAL,0,,0,0,12,0,2.4.1,3,1,1,1,1,1,set,1.4.10,1.4.10,0,0,0,0,0,66,14,0,5.15.11-1.el7.elrepo.x86_64,,,,,
,67119065,51653568,77,32,es1p-321/es1p-322,731Г,731Г,,,,,636683,2021-12-27T13:36:00,2021-12-27T17:39:00,,,1,,,Н.НОВГОРОД-МОСК,ЧЕРКИЗОВО,LASTA,,,,,LASTA,,,,,,,,2,,,,,,set,,,,,,,,,,,,,,,,
,2834234,352087,19,12,es2gp-005,736И,736И,43,33,0,,636709,2021-12-27T13:36:00,2021-12-27T17:16:00,es2gp-005,0,148,,,ИВАНОВО,ЧЕРКИЗОВО,LASTA,1,2021-12-28T07:15:10,,,BRANDED,40,,0,0,0,0,,2,,,,,,set,,,0,0,0,0,0,0,0,0,,1,,,,
,54757747,0,80,,020-37018,739А,739А,,,0,192.168.218.73,636531,2021-12-27T13:38:00,2021-12-27T17:41:00,,,1,,,МОСКВА-П-КИЕВ,БРЯНСК-ОРЛОВ,"Incarnet 467",1,2021-12-23T20:30:39,,,SPECIAL,0,,0,7,10,0,2.4.1,2,1,1,1,1,1,set,1.4.10,1.4.10,0,0,0,0,0,0,0,0,5.15.11-1.el7.elrepo.x86_64,,,,,
,,,,,094-13071,602Ч,602Ч,,,,,636356,2021-12-27T13:39:00,2021-12-28T03:23:00,,,1,,,"ЧИТА II",ПРИАРГУНСК,,,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
,1516575383,859108745,71,24,es1p-006,813В,813В,,,,,636648,2021-12-27T13:40:00,2021-12-27T17:10:00,,,1,,,СПБ-БАЛТИЙСКИЙ,ПСКОВ-ПАС,LASTA,,,,,LASTA,,,,,,,,2,,,,,,set,,,,,,,,,,,,,,,,
,,,,,000-00000,770А,770А,,,,,636520,2021-12-27T13:40:00,2021-12-27T17:44:00,,,1,,,МОСКВА-П-ОКТ,СПБ-ГЛАВНЫЙ,,,,,,SAPSAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,083-16192,636Н,636Н,,,,,636383,2021-12-27T13:40:00,2021-12-27T19:30:00,,,1,,,"ТОМСК II","БЕЛЫЙ ЯР",,,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
7,2033599699,1823901537,39,17,096-16020,006Э,006Э,30,17,0,192.168.217.46,636197,2021-12-27T13:43:00,2021-12-28T02:59:00,096-16020,103,634,006Э,"2021-12-28T02:59:00 103
","ХАБАРОВСК I",ВЛАДИВОСТОК,"Incarnet 591",1,2021-12-28T13:44:54,006Э,1,SPECIAL,0,,0,0,13,0,2.4.1,,1,1,1,1,1,vniias40,1.4.10,1.4.10,0,0,0,0,0,384,14,0,5.15.11-1.el7.elrepo.x86_64,1,,,,
,,,,,084-16984,116С,116С,,,,,636660,2021-12-27T13:44:00,2021-12-31T11:39:00,,,1,,,АДЛЕР,"ТОМСК II",,,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
,,,,,052-15868,126С,126С,,,,,636336,2021-12-27T13:45:00,2021-12-28T19:40:00,,,1,,,НОВОРОССИЙСК,МОСКВА-П-КАЗ,,,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
4,2446952235,142073050,21,9,096-16012,005Э,005Э,14,9,0,192.168.216.198,636198,2021-12-27T13:47:00,2021-12-28T02:26:00,096-16012,74,640,005Э,"2021-12-28T02:26:00 74
",ВЛАДИВОСТОК,"ХАБАРОВСК I","Incarnet 525",1,2021-12-28T13:43:57,005Э,1,SPECIAL,0,,0,1,7,0,2.4.1,,1,1,1,1,1,vniias40,1.4.10,1.4.10,0,0,0,0,0,1203,0,0,5.15.7-1.el7.elrepo.x86_64,1,,,,
,,,,,094-16975,070Ч,070Ч,142,129,0,192.168.216.67,636352,2021-12-27T13:50:00,2022-01-01T00:11:00,094-16975,647,5,001И,"2021-12-28T07:45:00 647
",МОСКВА-П-ЯР,"ЧИТА II","Incarnet 000",1,2021-12-27T17:55:19,001И,1,BRANDED,0,,0,30,17,0,2.4.1,,1,1,1,1,1,vniias40,1.4.10,1.4.10,0,0,0,0,0,5367,153,0,5.15.11-1.el7.elrepo.x86_64,,,,,
,,,,,001-16152,160А,160А,,,,,636645,2021-12-27T13:50:00,2021-12-28T10:16:00,,,1,,,ПЕТРОЗАВОДСК,МОСКВА-П-ОКТ,"Incarnet 458",,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
9,11432690813,6257640771,296,160,061-16917,001И,001И,172,180,0,192.168.216.67,636184,2021-12-27T13:50:00,2021-12-28T07:45:00,061-16917,647,427,001И,"2021-12-28T07:45:00 647
",МОСКВА-П-ПАВ,"ВОЛГОГРАД I","Incarnet 2071",1,2021-12-28T13:43:45,001И,1,SPECIAL,0,,0,1,17,0,2.4.1,4,1,1,1,1,1,set,1.4.10,1.4.10,0,0,0,0,0,71,0,0,5.15.11-1.el7.elrepo.x86_64,1,,,,
18,12124770207,12104015533,126,95,001-16327,738В,738В,110,97,0,192.168.217.169,636702,2021-12-27T13:50:00,2021-12-27T19:32:00,001-16327,321,183,738В,"2021-12-27T19:32:00 321
",МОСКВА-П-ОКТ,СПБ-ГЛАВНЫЙ,"Incarnet 000",1,2021-12-28T13:43:56,738В,1,SPECIAL,0,,0,5,13,0,2.4.1,1,1,1,1,1,1,set,1.4.10,1.4.10,0,0,0,0,0,1990,15,0,5.15.11-1.el7.elrepo.x86_64,1,,,,
4,3300106956,3288215933,91,41,028-16221,103Я,103Я,81,43,0,192.168.217.213,636501,2021-12-27T13:51:00,2021-12-27T17:11:00,028-16221,308,185,103Я,"2021-12-27T17:11:00 308
",ЯРОСЛАВЛЬ-ГЛ,МОСКВА-П-ЯР,"Incarnet 456",1,2021-12-28T13:44:01,103Я,1,SPECIAL,0,,0,0,13,0,2.4.1,,1,1,1,1,1,vniias40,1.4.10,1.4.10,0,0,0,0,0,0,0,0,5.15.11-1.el7.elrepo.x86_64,,,,,
10,14575721580,14400142592,210,164,005-17474,737В,737В,179,220,0,192.168.218.192,636701,2021-12-27T13:52:00,2021-12-27T19:39:00,005-17474,466,100,737В,"2021-12-27T19:39:00 466
",СПБ-ГЛАВНЫЙ,МОСКВА-П-ОКТ,"Incarnet 000",1,2021-12-28T13:44:33,737В,1,SPECIAL,0,,0,2,13,0,2.4.1,1,1,1,1,1,1,set,1.4.10,1.4.10,0,0,0,0,0,785,14,0,5.15.11-1.el7.elrepo.x86_64,1,,,,
29,7801966528,7790287561,117,74,019-77784,705М,705М,115,78,0,192.168.219.133,636555,2021-12-27T13:58:00,2021-12-27T17:43:00,019-77784,391,130,705М,"2021-12-27T17:43:00 391
",ЧЕРКИЗОВО,Н.НОВГОРОД-МОСК,"Incarnet 2736",1,2021-12-28T13:44:36,705М,1,SPECIAL,0,,0,0,16,0,2.4.1,1,1,1,1,1,1,set,1.4.10,1.4.10,0,0,0,0,0,94,42,0,5.15.11-1.el7.elrepo.x86_64,1,,,,
13,4915272818,2287086039,83,51,010-16005,030Ч,030Ч,79,120,0,192.168.217.147,636237,2021-12-27T14:03:00,2021-12-28T08:54:00,010-16005,273,420,030Ч,"2021-12-28T08:54:00 273
",КАЛИНИНГ-ПАС,МОСКВА-П-СМОЛ,"Incarnet 545",1,2021-12-28T03:57:07,030Ч,1,SPECIAL,0,,0,43,8,0,2.4.1,3,1,1,1,1,1,vniias40,1.4.10,1.4.10,0,0,0,0,0,41,14,0,5.15.11-1.el7.elrepo.x86_64,1,,,,
,,,,,062-16790,047Й,047Й,,,,,636390,2021-12-27T14:05:00,2021-12-28T10:24:00,,,1,,,МОСКВА-П-ПАВ,БАЛАКОВО,"Incarnet 000",,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
2,309603278,120732462,31,11,097-16150,667Э,667Э,32,11,0,192.168.218.159,636278,2021-12-27T14:05:00,2021-12-27T22:55:00,097-16150,430,276,667Э,"2021-12-27T22:55:00 430
","ХАБАРОВСК I",КОМСОМЛ-НА-АМУРЕ,"Incarnet 525",1,2021-12-28T13:44:22,667Э,1,SPECIAL,0,,0,0,15,0,2.4.1,,1,1,1,1,1,vniias40,1.4.10,1.4.10,0,0,0,0,0,82,14,0,5.15.11-1.el7.elrepo.x86_64,1,,,,
1,550634956,125979689,34,14,097-16168,667Ж,667Ж,30,83,0,192.168.216.62,636277,2021-12-27T14:07:00,2021-12-27T23:03:00,097-16168,413,278,667Ж,"2021-12-27T23:03:00 413
",КОМСОМЛ-НА-АМУРЕ,"ХАБАРОВСК I","Incarnet 617",1,2021-12-28T13:44:28,667Ж,1,SPECIAL,0,,0,28,14,0,2.4.1,,1,1,1,1,1,vniias40,1.4.10,1.4.10,0,0,0,0,0,80,14,0,5.15.11-1.el7.elrepo.x86_64,1,,,,
,24926212,10802432,48,19,es2gp-004,736Я,736Я,51,38,0,,636684,2021-12-27T14:11:00,2021-12-27T17:51:00,es2gp-004,0,174,,,МОСКВА-П-КУР,ИВАНОВО,LASTA,1,2021-12-28T11:44:04,,,LASTA,40,,0,0,0,0,,2,,,,,,set,,,0,0,0,0,0,0,0,0,,1,,,,
,,,,,000-00000,052Б,052Б,,,,,636261,2021-12-27T14:12:00,2021-12-28T07:55:00,,,1,,,БРЕСТ-ЦЕНТР,СПБ-ВИТЕБСКИЙ,,,,,,BRANDED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,000-00000,683Ч,683Ч,,,,,636508,2021-12-27T14:14:00,2021-12-27T16:35:00,,,1,,,ЗАБАЙКАЛЬСК,БОРЗЯ,,,,,,BRANDED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,11194906065,2494723480,93,54,051-16116,011Э,011Э,408,54,0,192.168.216.176,636207,2021-12-27T14:15:00,2021-12-28T13:30:00,051-16116,421,578,011Э,"2021-12-28T13:30:00 421
",АНАПА,МОСКВА-П-КАЗ,"Incarnet 707",1,2021-12-28T13:44:20,011Э,1,SPECIAL,0,,0,20,17,0,2.4.1,7,1,1,1,1,1,vniias40,1.4.10,1.4.10,0,0,0,0,0,163,30,0,5.15.11-1.el7.elrepo.x86_64,1,,,,
,,,,,061-16727,379Й,379Й,,,,,636321,2021-12-27T14:15:00,2021-12-28T11:10:00,,,1,,,МОСКВА-П-ПАВ,КАМЫШИН,,,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
,,,,,061-15638,137Ж,137Ж,,,,,636493,2021-12-27T14:17:00,2021-12-28T06:52:00,,,1,,,"САРАТОВ I-ПАС",МОСКВА-П-ПАВ,,,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
,11313234,9591090,93,97,es1p-030,719М,719М,72,102,0,,636598,2021-12-27T14:18:00,2021-12-27T21:48:00,es1p-030,0,324,,,МОСКВА-П-КУР,БЕЛГОРОД,LASTA,1,2021-12-28T13:44:49,,,LASTA,40,,0,0,0,0,,2,,,,,,set,,,0,0,0,0,0,0,0,0,,1,,,,
7,2419885794,2365137848,156,71,017-16471,070М,070М,135,76,0,192.168.219.56,636615,2021-12-27T14:20:00,2021-12-27T20:42:00,017-16471,567,240,070М,"2021-12-27T20:42:00 567
",МОСКВА-П-КАЗ,ЛИПЕЦК,"Incarnet 562",1,2021-12-28T13:44:53,070М,1,SPECIAL,0,,0,8,11,0,2.4.1,,1,1,1,1,1,vniias40,1.4.10,1.4.10,0,0,0,0,0,191,14,0,5.15.11-1.el7.elrepo.x86_64,1,,,,
,,,,,083-16119,007Н,007Н,,,,,636201,2021-12-27T14:23:00,2022-01-01T11:27:00,,,1,,,ВЛАДИВОСТОК,ОМСК-ПАС,"Incarnet ",,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
16,29930960514,15461103660,283,130,051-16223,030С,030С,151,227,0,192.168.217.192,636249,2021-12-27T14:30:00,2021-12-28T12:30:00,051-16223,476,1074,030С,"2021-12-28T12:30:00 476
",МОСКВА-П-КАЗ,НОВОРОССИЙСК,"Incarnet 700",1,2021-12-28T13:43:58,030С,1,SPECIAL,0,,0,0,15,0,2.4.1,,1,1,1,1,1,vniias40,1.4.10,1.4.10,0,0,0,0,0,154,14,0,5.15.11-1.el7.elrepo.x86_64,1,,,,
,,,,,080-17147,105А,105А,,,,,636698,2021-12-27T14:30:00,2021-12-29T04:43:00,,,1,,,СПБ-ГЛАВНЫЙ,ОРЕНБУРГ,,,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
17,9321647590,9016008062,98,58,024-16162,102М,102М,63,66,0,192.168.216.100,636394,2021-12-27T14:40:00,2021-12-28T13:51:00,024-16162,404,909,102М,"2021-12-28T13:51:00 404
",МОСКВА-П-КАЗ,АДЛЕР,"Incarnet 520",1,2021-12-28T13:45:01,102М,1,SPECIAL,0,,0,23,16,0,2.4.1,2,1,1,1,1,1,set,1.4.10,1.4.10,0,0,0,0,0,215,14,0,5.15.11-1.el7.elrepo.x86_64,1,,,,
,,,,,000-00000,124Ы,124Ы,,,,,636423,2021-12-27T14:40:00,2021-12-28T02:15:00,,,1,,,КРАСНОЯРСК,АБАКАН,,,,,,BRANDED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,191236,89067,15,5,es1-050,810С,810С,27,6,0,,636438,2021-12-27T14:42:00,2021-12-27T21:45:00,es1-050,0,22,,,РОСТОВ-ГЛ,КИСЛОВОДСК,LASTA,1,2021-12-27T14:40:00,,,LASTA,40,,0,0,0,0,,2,,,,,,set,,,0,0,0,0,0,0,0,0,,1,,,,
2,4736218117,4664900753,91,33,065-16629,049Й,049Й,52,36,0,192.168.216.252,636570,2021-12-27T14:44:00,2021-12-28T05:40:00,065-16629,180,490,049Й,"2021-12-28T05:40:00 180
",САМАРА,МОСКВА-П-КАЗ,"Incarnet 416",1,2021-12-28T13:44:44,049Й,1,SPECIAL,0,,0,0,13,0,2.4.1,1,1,1,1,1,1,set,1.4.10,1.4.10,0,0,0,0,0,78,14,0,5.15.11-1.el7.elrepo.x86_64,1,,,,
4,1359967152,1349216652,59,26,028-16213,104Я,104Я,60,26,0,192.168.219.123,636500,2021-12-27T14:45:00,2021-12-27T18:24:00,028-16213,210,387,104Я,"2021-12-27T18:24:00 210
",МОСКВА-П-ЯР,ЯРОСЛАВЛЬ-ГЛ,"Incarnet 000",1,2021-12-28T13:44:05,104Я,1,SPECIAL,0,,0,3,12,0,2.4.1,1,1,1,1,1,1,set,1.4.10,1.4.10,0,0,0,0,0,1087,42,0,5.15.11-1.el7.elrepo.x86_64,1,,,,
,,,,,077-16020,337Е,337Е,,,,,636334,2021-12-27T14:45:00,2021-12-28T09:06:00,,,1,,,ЕКАТЕРИН-ПАС,ПРИОБЬЕ,"Incarnet 000",,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
,,,,,088-16019,124У,124У,,,,,636424,2021-12-27T14:45:00,2021-12-28T02:20:00,,,1,,,АБАКАН,КРАСНОЯРСК,"Incarnet 603",,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
,,,,,000-00000,076Ц,076Ц,,,,,636590,2021-12-27T14:46:00,2021-12-29T11:38:00,,,1,,,ПЕТРОПАВЛОВСК,КЫЗЫЛОРДА,,,,,,BRANDED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,019-16394,084С,084С,,,,,636418,2021-12-27T14:50:00,2021-12-29T09:34:00,,,1,,,АДЛЕР,МОСКВА-П-КИЕВ,,,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
,,,,,088-16811,606Ы,606Ы,,,,,636360,2021-12-27T14:58:00,2021-12-28T04:59:00,,,1,,,КРАСНОЯРСК,КАРАБУЛА,,,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
,,,,,000-00000,771А,771А,,,,,636521,2021-12-27T15:00:00,2021-12-27T18:55:00,,,1,,,СПБ-ГЛАВНЫЙ,МОСКВА-П-ОКТ,,,,,,SAPSAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,000-00000,069Ч,069Ч,,,,,636353,2021-12-27T15:00:00,2022-01-01T04:56:00,,,1,,,"ЧИТА II",МОСКВА-П-ЯР,,,,,,BRANDED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,092-16326,362И,362И,,,,,636341,2021-12-27T15:00:00,2021-12-28T07:57:00,,,1,,,ИРКУТСК-ПАС,НАУШКИ,,,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
,,,,,052-16700,132У,132У,,,,,636324,2021-12-27T15:08:00,2021-12-29T03:15:00,,,1,,,МОСКВА-П-КАЗ,ОРСК,,,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
,41007,0,4,2,es1p-008,716Я,716Я,,,0,,636662,2021-12-27T15:10:00,2021-12-27T19:17:00,,,1,,,МОСКВА-П-ЯР,"КОСТРОМА НОВ",LASTA,1,2021-12-28T09:47:11,,,LASTA,40,,0,0,0,0,,3,,,,,,set,,,0,0,0,0,0,0,0,0,,1,,,,
,,,,,000-00000,773А,773А,,,,,636523,2021-12-27T15:10:00,2021-12-27T19:05:00,,,1,,,СПБ-ГЛАВНЫЙ,МОСКВА-П-ОКТ,,,,,,SAPSAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,052-17120,310Э,310Э,,,,,636346,2021-12-27T15:12:00,2021-12-31T07:10:00,,,1,,,АДЛЕР,ВОРКУТА,,,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
,,,,,028-16015,678Я,678Я,,,,,636378,2021-12-27T15:14:00,2021-12-27T22:45:00,,,1,,,СЫКТЫВКАР,КОСЛАН,,,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
3,4512398528,1628464926,99,37,051-16025,019С,019С,80,43,0,192.168.219.160,636389,2021-12-27T15:15:00,2021-12-28T07:30:00,051-16025,331,513,019С,"2021-12-28T07:30:00 331
",РОСТОВ-ГЛ,МОСКВА-П-КАЗ,"Incarnet 419",1,2021-12-28T13:43:08,019С,1,SPECIAL,0,,0,9,15,0,2.4.1,1,1,1,1,1,1,set,1.4.10,1.4.10,0,0,0,0,0,3232,38,0,5.15.11-1.el7.elrepo.x86_64,1,,,,
,,,,,017-06829,120М,120М,,,,,636584,2021-12-27T15:16:00,2021-12-27T23:59:00,,,1,,,МОСКВА-П-КАЗ,САРАНСК,,,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
,,,,,es1p-025,725Ч,725Ч,,,0,,636638,2021-12-27T15:16:00,2021-12-27T21:58:00,,,1,,,СПБ-ГЛАВНЫЙ,МОСКВА-П-ОКТ,LASTA,1,2021-12-28T12:08:46,,,LASTA,40,,0,0,0,0,,2,,,,,,set,,,0,0,0,0,0,0,0,0,,1,,,,
,,,,,081-16022,109М,109М,,,,,636304,2021-12-27T15:16:00,2021-12-30T05:22:00,,,1,,,"НОВ УРЕНГОЙ",МОСКВА-П-ЯР,"Incarnet 427",,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
,,,,,020-16004,253С,253С,,,,,636637,2021-12-27T15:19:00,2021-12-28T01:00:00,,,1,,,КИСЛОВОДСК,РОСТОВ-ГЛ,,,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
,9958191,6743823,40,38,es2gp-007,726Ч,726Ч,39,98,0,,636639,2021-12-27T15:21:00,2021-12-27T22:20:00,es2gp-007,0,296,,,МОСКВА-П-ОКТ,СПБ-ГЛАВНЫЙ,LASTA,1,2021-12-28T13:43:12,,,LASTA,40,,0,0,0,0,,3,,,,,,set,,,0,0,0,0,0,0,0,0,,1,,,,
