auth_false,net_traffic,net_traffic_auth,net_users,auth_store,train,route,routes_route,ip_count,auth_count,service_availability,vpn_ip,id,depart,arrive,train_name,p_count,count,real_route,route_arrival,station_of_departure,station_of_arrival,equipment,cron,availability,route_current,code,type,films_count,films_available,get_carriage,cont_users,actual_carriage,scan_carriage,rdl_api_version,comment_c,service_status_auth,service_status_nginx,service_status_dhcpd,service_status_ipcad,service_status_squid,source_car,auth_version,daemon_version,content_music,content_books,content_audio_book,content_films,content_press,http_codes_200,http_codes_404,http_codes_404_percent,core_version,docker_status,dockers_errors,dockers_errors_status,temp,temp_second
,,,,,000-00000,990Ч,990Ч,,,,,634356,2021-12-23T02:55:00,2022-01-01T02:38:00,,,1,,,МОСКВА-П-КАЗ,ВЛАДИВОСТОК,,,,,,BRANDED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,021-15855,061М,061М,,,,,634463,2021-12-23T11:50:00,2021-12-29T13:58:00,,,1,,,ВЛАДИВОСТОК,МОСКВА-П-ЯР,,,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
2,,,,,094-17189,070Ч,070Ч,57,18,0,192.168.221.29,634174,2021-12-23T13:50:00,2021-12-28T00:11:00,094-17189,383,66,030Ч,"2021-08-21T08:53:00 383
",МОСКВА-П-ЯР,"ЧИТА II","Incarnet 000",1,2021-12-28T13:44:10,,1,BRANDED,0,,0,0,8,0,2.4.1,,1,1,1,1,1,vniias40,1.4.10,1.4.10,0,0,0,0,0,64,0,0,5.15.11-1.el7.elrepo.x86_64,1,,,,
,,,,,084-16190,007Н,007Н,,,,,634042,2021-12-23T14:23:00,2021-12-28T11:27:00,,,1,,,ВЛАДИВОСТОК,ОМСК-ПАС,,,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
,,,,,094-16330,069Ч,069Ч,,,0,192.168.221.25,634175,2021-12-23T15:00:00,2021-12-28T04:56:00,,,1,,,"ЧИТА II",МОСКВА-П-ЯР,"Incarnet 000",1,2021-12-28T13:43:53,,,BRANDED,0,,0,1,8,0,2.4.1,,1,1,1,1,1,vniias40,1.4.10,1.4.10,0,0,0,0,0,2752,0,0,5.15.11-1.el7.elrepo.x86_64,1,,,,
39,38986597791,20589551304,408,150,097-16960,001Э,001Э,105,161,0,192.168.218.93,634030,2021-12-23T16:18:00,2021-12-30T11:13:00,097-16960,10622,1420,001Э,"2021-12-28T11:13:00 1500
2021-12-29T11:13:00 1789
2021-12-30T11:13:00 1931
2021-12-24T11:13:00 1170
2021-12-25T11:13:00 1414
2021-12-26T11:13:00 1244
2021-12-27T11:13:00 1574
",ВЛАДИВОСТОК,МОСКВА-П-ЯР,2064,1,2021-12-28T13:44:42,001Э,1,SPECIAL,0,,0,77,16,0,2.4.1,6,1,1,1,1,1,vniias40,1.4.10,1.4.10,0,0,0,0,0,1076,30,0,5.15.11-1.el7.elrepo.x86_64,1,,,,
,,,,,000-00000,989И,989И,,,,,634357,2021-12-23T18:15:00,2022-01-01T02:12:00,,,1,,,ВЛАДИВОСТОК,МОСКВА-П-КАЗ,,,,,,BRANDED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,084-16158,062М,062М,,,,,634462,2021-12-23T23:45:00,2021-12-30T00:07:00,,,1,,,МОСКВА-П-ЯР,ВЛАДИВОСТОК,,,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
73,86252568349,31562581271,543,290,097-17216,002Э,002Э,105,207,0,192.168.219.71,634535,2021-12-24T00:35:00,2021-12-30T23:03:00,097-17216,12601,2427,002Э,"2021-12-30T23:03:00 2323
2021-12-24T23:03:00 1500
2021-12-25T23:03:00 1490
2021-12-26T23:03:00 1446
2021-12-27T23:03:00 1610
2021-12-28T23:03:00 1761
2021-12-29T23:03:00 2471
",МОСКВА-П-ЯР,ВЛАДИВОСТОК,"Incarnet 2733",1,2021-12-28T13:40:03,,1,SPECIAL,0,,0,128,18,0,2.4.1,3,1,1,1,1,1,set,1.4.10,1.4.10,0,0,0,0,0,2075,10,0,5.14.5-1.el7.elrepo.x86_64,1,,,,
,,,,,000-00000,990Ч,990Ч,,,,,634889,2021-12-24T02:55:00,2022-01-02T02:38:00,,,1,,,МОСКВА-П-КАЗ,ВЛАДИВОСТОК,,,,,,BRANDED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,077-16004,346С,346С,,,,,634738,2021-12-24T07:10:00,2021-12-28T09:10:00,,,1,,,АДЛЕР,"НИЖНЕВАРТ I",,,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
